[Chunk start 0.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 25.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 50.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 75.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 100.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 125.00s]: [0.00-29.98] Продолжение следует...
[Chunk start 150.00s]: [0.00-3.00] Появился в этом случае, как правило, неизвестный.
[Chunk start 175.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 200.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 225.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 250.00s]: [0.00-29.44] Всем привет! [29.44-0.00]  [1.00-NA] Привет!
[Chunk start 275.00s]: [0.00-4.00] Все, что мы видим, это не только те, кто не понимает, а те, кто не понимает. [4.00-5.00] Это не только те, кто не понимает, а те, кто не понимает. [5.00-6.00] Это не только те, кто не понимает, а те, кто не понимает. [6.00-7.00] Это не только те, кто не понимает, а те, кто не понимает. [7.00-8.00] Это не только те, кто не понимает, а те, кто не понимает. [8.00-9.00] Это не только те, кто не понимает, а те, кто не понимает. [9.00-10.00] Это не только те, кто не понимает, а те, кто не понимает.
[Chunk start 300.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 325.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 350.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 375.00s]: [0.00-28.90] Да, давайте начнем. [28.90-0.00]  [1.10-NA] это не так.
[Chunk start 400.00s]: [0.00-4.00] Да, давайте начнем. [4.00-0.00]  [26.00-NA] Появился в этом случае, как правило, неудобно.
[Chunk start 425.00s]: [0.00-11.16] нас сегодня ждет не то чтобы сильно большая поэтому скорее всего мы пройдем ее без перерыва думаю мы [11.16-17.04] успеем где-то за час максимум все это дело рассказать но при этом заключительная лекция [17.04-27.24] в блоке первом лекции связанных с ломками такими именно больше коры историями там про модальности [27.24-0.00]  [2.76-NA] про то, как их обучают, какие там способы используют.
[Chunk start 450.00s]: [0.00-4.84] историями там про модальности и про то, как их обучают, какие там способы используют. [5.34-10.66] И сегодня мы, по большей части, как раз поговорим про какие-то оставшиеся модальности, [10.72-16.42] которые не успели затронуть на предыдущей лекции, и заодно немного поговорим о тех методах, [16.52-22.42] которые там используют для того, чтобы вообще сервис на базе лаб какой-то свой сделать, [23.28-26.08] почему эти методы вдруг актуальны и зачем их используют, [26.08-0.00]  [3.92-NA] и подведем некоторые вообще в целом итоги того, что
[Chunk start 475.00s]: [0.00-6.10] зачем их используют и подведем некоторые вообще в целом итоге того что мы там изучили на первом [6.10-15.04] блоке и зачем это сидел проходили да на прошлой лекции разбрали по вижу модальность такая [15.04-23.04] достаточно большая интересная сегодня будем рассматривать с вами и код и аудио и начнем [23.04-29.82] с кода вот как модальность она в целом достаточно уникальная потому что ее даже выделил модальность [29.82-0.00]  [1.00-NA] с.
[Chunk start 500.00s]: [0.00-6.10] Код как модальность, она в целом достаточно уникальная, потому что ее даже в отдел модальности в целом не всегда выносят. [6.60-11.38] Однако код сам по себе имеет достаточно много особенностей. [11.52-20.82] Во-первых, он написан на привычном для любой лоломки тексте, так или иначе, но при этом, естественно, не представляет собой естественный язык. [22.06-25.06] Для чего вообще нужен код как модальность? [25.06-0.00]  [4.94-NA] Ну, во-первых, любой разработчик в целом может сделать это.
