[125.00-154.98] Продолжение следует...
[150.00-152.88] Появился в Казахстане.
[250.00-279.52] Всем привет! [279.52-250.00]  [250.24-NA] и в субботу.
[275.00-280.00] Все, что я могу сказать, я могу сказать, что я не могу [280.00-282.00] сказать, что я не могу сказать. [282.00-284.00] Я не могу сказать, что я не могу сказать.
[375.00-403.90] Да, давайте начнем. [403.90-375.00]  [376.00-NA] м.
[400.00-403.92] Да, давайте начнем. [403.92-400.00]  [426.06-400.00] Секунду. [429.98-NA] Старый мир, который не может быть разрушен, не может быть разрушен.
[425.00-436.12] нас сегодня ждет не то чтобы сильно большая поэтому скорее всего мы проведем ее без перерыва думаю мы [436.12-442.04] успеем где-то за час максимум все это дело рассказать но при этом заключительная лекция [442.04-452.24] в блоке первом лекции связанных с ломками такими именно больше коры историями там про модальности [452.24-425.00]  [427.76-NA] про то, как их обучают, какие там способы используют.
[450.00-454.84] историями про модальности и про то, как их обучают, какие там способы используют. [455.34-460.66] И сегодня мы, по большей части, как раз поговорим про какие-то оставшиеся модальности, [460.72-466.42] которые не успели затронуть на предыдущей лекции, и заодно немного поговорим о тех методах, [466.42-472.42] которые используют для того, чтобы вообще сервис на базе ламп какой-то свой сделать, [473.10-479.90] почему эти методы вдруг актуальны и зачем их используют, и подвинем некоторые вообще в целом итоги того,
[475.00-481.10] зачем их используют и подведем некоторые вообще в целом итоге того что мы там изучили на первом [481.10-490.04] блоке и зачем это сидел проходили да на прошлой лекции разобрали по вижу модальность такая [490.04-498.04] достаточно большая интересная сегодня будем рассматривать с вами и код и аудио и начнем [498.04-504.82] с кода вот как модальность она в целом достаточно уникальная потому что ее даже в отделу модальности [504.82-475.00]  [476.00-NA] с.
[500.00-506.10] Код как модальность, она в целом достаточно уникальная, потому что ее даже в отдел модальности в целом не всегда выносят. [506.60-511.38] Однако код сам по себе имеет достаточно много особенностей. [511.52-520.82] Во-первых, он написан на привычном для любой лоломки тексте, так или иначе, но при этом, естественно, не представляет собой естественный язык. [522.06-525.06] Для чего вообще нужен код как модальность? [525.06-500.00]  [504.94-NA] Ну, во-первых, любой разработчик в целом может сделать это.
[525.00-532.16] Ну, во-первых, любой разработчик в целом, который особенно разрабатывает подобные модальности, [532.24-535.82] он так или иначе хотел иметь какого-то универсального помощника, [535.96-539.34] который поможет достаточно быстро решать какие-то задачи, связанные с кодом, [539.44-541.30] которые возникают в целом практически всегда, [541.78-545.86] если вы разрабатываете или занимаетесь дата-сайенсом или что-то подобное. [546.24-553.26] И таких задач достаточно много, которые возникают у вас там из раза в раз в вашей жизни. [554.34-525.00]  [526.74-NA] Иногда, когда мы говорим о том, что мы не можем сделать
[550.00-553.28] у вас там из раза в раз в вашей жизни. [554.26-557.32] Иногда нужно посмотреть, где находится какой-то баг, [558.42-561.50] причем этот баг нужно найти и потом еще и понять, [561.72-564.82] каким образом нам надо сделать так, чтобы этот баг не работал, [565.28-566.54] точнее, исправить этот баг. [567.34-571.62] Нам нужно найти что-то в коде, либо своем, либо чужом. [572.76-575.76] Code-to-code retrieval достаточно часто тоже история, [575.76-577.92] которая позволяет нам решать кодовую модальность. [579.36-550.00]  [552.06-NA] Ну, естественно, мы должны поддержать эту работу.
[575.00-582.08] история, которая позволяет нам решать кодовую модальность. Естественно, самая главная вещь, [582.08-588.02] для чего кодовая модальность нужна, это генерация кода того или иного. Это может быть полностью как [588.02-594.44] рерайтинг кода, который написали, либо завершение кода, то есть какие-то универсальные помощники, [594.44-600.40] которые позволяют на основании тех данных, которых они обучились, завершить ту или иную вещь. Причем [600.40-575.00]  [579.60-NA] Потом кодовые сервисы обычно, они сочетаются с кодовыми сервисами.
[600.00-610.92] Причем кодовые сервисы обычно сочетают в себе не просто какую-то одну модельку, так они в целом сочетают множество моделей. [610.92-611.88] Сейчас секундочку. [617.38-629.34] Они сочетают множество моделей, начиная от single line модели, это как отдельная модель, где требуется завершить только одну маленькую строчку кода, [629.34-600.00]  [600.00-NA] при этом, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате,
