[550.00-569.00] Всё, что я могу сказать, я могу сказать только на этом. [569.00-550.00]  [557.58-559.64] Всем привет. Прошу прощения за задержку. Давайте наступать. Скажите, пожалуйста, меня слышно, видно? [560.62-NA] Да, слышно, видно.
[575.00-576.60] Скажите, пожалуйста, меня слышно, видно? [578.68-579.66] Да, слышно, видно. [593.30-595.28] Так, давайте начнем. [595.70-598.68] Я сразу предупрежу, такой небольшой дисклеймер. [599.14-602.52] Я тут недавно только отошел от непродолжительной простуды, [602.52-575.00]  [577.28-NA] Поэтому, если начну какашить как дед,
[600.00-606.28] отошел от непродолжительной простуды, поэтому если начну кашлять как дед, то постараюсь [606.28-616.28] замиютиться. Но если вас это смущает, то скажите об этом. Итак, у нас сегодня второе занятие, и оно [616.28-624.06] будет посвящено новой не то что парадигме, но мы чуть ли усложним себе задачу. Мы будем работать [624.06-600.00]  [605.18-NA] так называемому model free сеттинги когда про среду нам будет известно все меньше и меньше
[625.00-629.54] Model-free сеттинги, когда про среду нам будет известно все меньше и меньше, [630.32-636.26] а соответственно, какие среды у нас на самом деле присутствуют в реальном мире повсеместно, [636.74-639.48] поэтому они будут иметь для нас особое значение. [640.06-644.90] И в целом, тетап соответствует тому, какие задачи мы будем решать в реальной жизни. [645.50-649.44] Но перед этим давайте вспомним, что мы изучали в прошлый раз. [650.60-651.50] Быстренько пробежимся. [652.34-625.00]  [628.50-NA] главным объектом изучения у нас был...
[650.00-658.46] Быстренько пробежимся. Главным объектом изучения у нас был так называемый марковский процесс принятия решения или сокращенный MDP. [659.00-668.42] MDP состоял из нескольких компонентов. Из action space, то есть тех действий, которые мы можем принимать, [668.58-676.30] те решения, которые мы можем принимать в тех или иных ситуациях и, соответственно, влиять на исход и на ту награду, которую мы получим. [676.82-650.00]  [653.70-NA] Состояние, в котором мы находимся, ну, по сути, не обеспечивает никакой безопасности.
[675.00-676.30] на ту награду, которую мы получим. [676.92-678.80] Состояние, в котором мы находимся, ну, по сути, [679.80-680.70] некоторое такое. [682.24-686.28] Способ описания того, что из себя вообще представляет следа. [687.52-689.44] Третье — это вот такая условная вероятность. [689.68-694.48] То есть, по сути, вероятность того, что, находясь в состоянии S [694.48-698.46] и выполнив действие A, вы перейдете в состояние S3. [699.22-701.18] Тут важное свойство зашито, [702.18-675.00]  [704.98-NA] что эта вероятность зависит от того, что мы делаем.
[700.00-707.72] важное свойство зашито что это вероятность зависит только от текущей пары состоянии действия и не [707.72-717.82] зависит от той истории то есть вам не совсем не вам не важно как именно вы пришли в состоянии [717.82-724.72] штрих если вы знаете состояние предыдущие это действие которое в предыдущем состоянии совершили [724.72-700.00]  [704.78-NA] То есть здесь на самом деле зашита марковость и санкциональность.
[725.00-729.50] То есть здесь, на самом деле, зашита марковость и стационарность. [729.88-735.18] И последнее, мы договорились, что награда у нас будет детерминированной функцией от состояния и действий. [735.50-740.66] В целом, можно рассматривать более общий сетап, где награда стахастическая, [740.82-750.26] но в целях облегчения задачи себе и выкладок на слайде, давайте договоримся, что награда будет детерминированной. [750.26-725.00]  [729.74-NA] А вот так можно было это представить, как Марио бегается, прыгается.
[750.00-753.20] А вот так можно было это представить. [753.40-759.32] Марио бегает, прыгает, вертится, в конце концов собирает какую-то промежуточную награду, [760.38-764.08] в конце концов попадает в трубу, и уровень закончен, переходим к следующему. [764.80-770.00] С точки зрения некоторой формализации мы максимизируем вот такую ожидаемую, [770.72-772.72] дисконтированную кумулятивную награду. [773.70-775.16] По нашей политике. [775.54-750.00]  [754.84-NA] Политика, напомню тоже, это то правило, которое мы
[775.00-784.30] Политика, напомню тоже, это то правило, исходя из которого вы в текущем состоянии принимаете решения. [784.58-788.20] Политика может быть детерминированная, когда это правило детерминировано, [788.44-794.18] и политика может быть стахастической, когда это некоторое вероятное распределение, из которого вы сэмплируете. [797.06-801.00] Дальше у нас появляются новые персонажи. [801.48-775.00]  [778.94-NA] GT — это вот эта кумулятивная награда в целом.
[800.00-810.86] новые персонажи GT это вот эта кумулятивная награда в целом это некоторые случайная величина вот [810.86-816.26] потому что все ее компоненты это тоже случайные величины вот но можно взять от него от ожидания [816.26-824.72] и задаться следующим вопросом какую награду я могу получить из состояния с вот на вопрос на этот [824.72-800.00]  [805.26-NA] Ответ на этот вопрос дает как раз функция, которая
[825.00-830.96] Ответ на этот вопрос дает как раз функция v. [831.32-836.68] v с пометкой p, это значит, что эта функция считается для определенной политики. [836.96-840.72] Ну и по сути, она говорит то, сколько награды мы можем получить, [840.86-846.32] если мы начнем играть из состояния s и дальше будем действовать исходя из политики p. [847.46-852.32] Одной v функции нам будет недостаточно, мы ввели q функцию, [852.32-854.00] вот тоже с пометкой p. [854.58-825.00]  [854.98-NA] Это, конечно, не все.
[850.00-858.94] ввели пью функцию вот тоже с пометкой пи это такое расширение а что будет если находясь состоянии с [858.94-865.44] я выполню действие а затем буду действовать исходя из моей политики сколько награды я получил [865.44-875.32] да это просто рекуррентное соотношение вот этот жить и называется кумулятивный [875.32-850.00]  [854.24-NA] reward или reward to go, часто будем его так называть.
[875.00-879.56] Коммунитивный reward или reward to go, часто будем его так называть, [880.82-887.30] просто считается с помощью дисконтирования к текущему моменту всех immediate reward, [887.40-889.82] которые вы получите на своей траектории. [889.82-898.22] И подчиняется, тут написано, давайте я это пропишу на всякий случай, [899.28-902.10] подчиняется следующему рекуррентному соотношению. [903.10-875.00]  [877.88-NA] GT равняется RT.
[900.00-915.58] рекуррентному соотношению. GT равняется RT плюс гамма GT плюс один. Какие у нас сейчас есть объекты, [915.58-922.50] дискаунд фактор говорит то, насколько будущие награды имеют вклад в наше текущее благосостояние [922.50-900.00]  [904.00-904.76] благосостояния по сравнению с той наградой, которую мы получаем сейчас. [905.34-907.58] То есть предельный случай...
[925.00-927.24] с той награды, которую мы получаем сейчас. [927.86-931.14] То есть в предельный случай, гамма равна нулю, [931.68-933.90] мы максимизируем нашу текущую награду. [934.44-937.58] Ту награду, которую мы получим, если мы выполним действие A, [938.12-939.16] ее мы и максимизируем. [939.60-942.66] Гамма равна единице, все награды на протяжении нашей игры [942.66-943.80] имеют одинаковый вес. [944.56-949.44] Но гамма между нулем и единицей имеет, как принято, [949.44-950.94] какое-то промежуточное значение, [951.08-954.44] типа такое экспоненциальное убывание веса.
[950.00-963.56] значение типа такое экспоненциальное убывание вес и у нас еще есть так называемый длина эпизода вот [963.56-975.12] целом можно рассматривать среды где это равно бесконечности так даже теоретически более удобно [975.12-950.00]  [954.94-NA] Но если t меньше бесконечности, то следа называются эпизодичными.
